order,storm,intensity,casualties,damage (mn),peak wind,minimum pressure,start_date,end date,us affected,US_LAT,US_LON,US_STATE,COUNTRY_LAT,COUNTRY_LON,COUNTRY_SPECIFIC
1,ONE,td,0,0,30,1008,6/7/2000,6/8/2000,y,,,,,,
2,TWO,td,0,0,35,1008,6/23/2000,6/25/2000,n,,,,,,
3,ALBERTO,3,0,0,125,950,8/3/2000,8/23/2000,y,,,,,,
4,FOUR,td,0,0,35,1009,8/8/2000,8/11/2000,n,,,,,,
5,BERYL,ts,1,0.027,50,1007,8/13/2000,8/15/2000,y,,,,24.9,-98.6,Mexico
6,CHRIS,ts,0,0,40,1008,8/17/2000,8/19/2000,n,,,,,,
7,DEBBY,1,1,735,85,991,8/19/2000,8/24/2000,y,,,,,,
8,ERNESTO,ts,0,0,40,1008,9/1/2000,9/3/2000,n,,,,,,
9,NINE,td,0,0,35,1008,9/8/2000,9/9/2000,y,30,-94,Texas,30,-94,United States
10,FLORENCE,1,3,0,80,985,9/10/2000,9/17/2000,y,,,,,,
11,GORDON,1,26,10.8,80,981,9/14/2000,9/21/2000,y,29.8,-83,Florida,20.4,-87.4,Mexico
12,HELENE,ts,2,16,70,986,9/15/2000,9/25/2000,y,30.5,-86.6,Florida,30.5,-86.6,United States
13,ISAAC,4,1,0,140,943,9/21/2000,10/1/2000,y,,,,,,
14,JOYCE,1,0,NA,90,975,9/25/2000,10/2/2000,n,,,,,,
15,KEITH,4,40,319,140,939,9/28/2000,10/6/2000,n,,,,17.9,-88,Belize
16,LESLIE,ts,3,950,45,1006,10/4/2000,10/7/2000,y,29,-81.4,Florida,29,-81.4,United States
17,MICHAEL,2,0,NA,100,965,10/15/2000,10/20/20000,y,,,,48,-56.5,Canada
18,NADINE,ts,0,0,60,999,10/19/2000,10/21/2000,n,,,,,,
19,UNNAMED,ts,0,NA,65,976,10/19/2000,10/21/2000,y,,,,,,
1,ALLISON,ts,55,5500,60,1000,6/4/2001,6/18/2001,y,29.3,-95.3,Texas,29.3,-95.3,United States
2,TWO,td,0,0,35,1010,7/11/2001,7/12/2001,n,,,,,,
3,BARRY,ts,9,30,70,990,8/2/2001,8/8/2001,y,30.4,-86.3,Florida,30.4,-86.3,United States
4,CHANTAL,ts,2,4,75,997,8/14/2001,8/21/2001,n,,,,18.2,-88.1,Belize
5,DEAN,ts,0,7.7,70,994,8/22/2001,8/28/2001,n,,,,,,
6,ERIN,3,0,0,120,968,9/1/2001,9/15/2001,n,,,,60,-44.5,Greenland
7,FELIX,3,0,0,115,962,9/7/2001,9/19/2001,n,,,,,,
8,GABRIELLE,1,3,230,80,975,9/11/2001,9/19/2001,y,28,-81.8,Florida,28,-81.8,United States
9,NINE,td,0,0,35,1005,9/19/2001,9/20/2001,n,,,,13.9,-83.5,Nicaragua
10,HUMBERTO,2,0,0,105,970,9/21/2001,9/27/2001,n,,,,,,
11,IRIS,4,36,150,145,948,10/4/2001,10/9/2001,n,,,,16.2,-89.9,Guatemala
12,JERRY,ts,0,0,50,1004,10/6/2001,10/8/2001,n,,,,,,
13,KAREN,1,0,1.4,80,982,10/12/2001,10/15/2001,n,,,,44.2,-64.8,Canada
14,LORNEZO,ts,0,0,40,1007,10/27/2001,10/31/2001,n,,,,,,
15,MICHELLE,4,84,2000,140,933,10/29/2001,11/5/2001,n,,,,13.3,-83.6,Nicaragua
16,NOEL,1,0,0,75,986,11/4/2001,11/6/2001,n,,,,,,
17,OLGA,1,0,0,90,973,11/24/2001,12/4/2001,n,,,,,,
1,ARTHUR,ts,1,min,60,997,7/14/2002,7/16/2002,y,,,,48,-54,Canada
2,BERTHA,ts,1,0.2,40,1007,8/4/2002,8/9/2002,y,29.3,-89.2,Louisiana,29.3,-89.2,United States
3,CRISTOBAL,ts,3,min,50,999,8/5/2002,8/8/2002,y,,,,,,
4,DOLLY,ts,0,0,60,997,8/29/2002,9/4/2002,n,,,,,,
5,EDOUARD,ts,0,min,65,1002,9/1/2002,9/6/2002,y,29.4,-81.1,Florida,29.4,-81.1,United States
6,FAY,ts,0,4.5,60,998,9/5/2002,9/8/2002,y,29.1,-96.9,Texas,29.1,-96.9,United States
7,UNNAMED,td,0,0,35,1013,9/7/2002,9/8/2002,n,,,,,,
8,GUSTAV,2,4,0.34,100,960,9/8/2002,9/12/2002,y,,,,48.6,-57.7,Canada
9,HANNA,ts,3,20,60,1001,9/12/2002,9/15/2002,y,30.4,-88.4,Mississippi,30.4,-88.4,United States
10,ISIDORE,3,22,1300,125,934,9/14/2002,9/27/2002,y,30,-89.9,Louisiana,22,-84.1,Cuba
11,JOSEPHINE,ts,0,0,40,1005,9/17/2002,9/19/2002,n,,,,,,
12,KYLE,1,1,6,85,980,9/20/2002,10/12/2002,y,33.2,-79.3,South Carolina,33.2,-79.3,United States
13,LILI,4,15,882,145,938,9/21/2002,10/4/2002,y,30.5,-92.4,Louisiana,22.1,-84,Cuba
14,UNNAMED,td,0,min,35,1002,10/14/2002,10/16/2002,n,,,,22.4,-80.5,Cuba
1,ANA,ts,2,0,60,994,4/20/2003,4/24/2003,n,,,,,,
2,UNNAMED,td,0,0,35,1008,6/11/2003,6/12/2003,n,,,,,,
3,BILL,ts,4,50.5,60,997,6/28/2003,7/2/2003,y,29.3,-91,Louisiana,19.5,-89,Mexico
4,CLAUDETTE,1,3,181,90,979,7/8/2003,7/17/2003,y,28.6,-96.9,Texas,21.1,-87.2,Mexico
5,DANNY,1,0,0,75,1000,7/16/2003,7/21/2003,n,,,,,,
6,UNNAMED,td,0,0,35,1010,7/19/2003,7/21/2003,n,,,,,,
7,UNNAMED,td,0,0,35,1016,7/25/2003,7/27/2003,y,31.5,-81.3,Georgia,31.5,-81.3,United States
8,ERIKA,1,2,0.01,75,988,8/14/2003,8/17/2003,n,,,,25.3,-97.4,Mexico
9,UNNAMED,td,0,0.02,35,1007,8/21/2003,8/22/2003,n,,,,,,
10,FABIAN,4,8,300,145,939,8/27/2003,9/8/2003,n,,,,,,
11,GRACE,ts,0,0.1,40,1007,8/30/2003,9/2/2003,y,29.4,-95.1,Texas,29.4,-95.1,United States
12,HENRI,ts,0,20.6,60,997,9/3/2003,9/8/2003,y,27.9,-82.8,Florida,27.9,-82.8,United States
13,ISABEL,5,50,3600,165,915,9/6/2003,9/19/2003,y,36.7,-77.7,Virginia,36.7,-77.7,United States
14,UNNAMED,td,0,0,35,1007,9/8/2003,9/10/2003,n,,,,,,
15,JUAN,2,8,200,105,969,9/24/2003,9/29/2003,n,,,,,,
16,KATE,3,0,0,125,952,9/25/2003,10/7/2003,n,,,,,,
17,LARRY,ts,53.6,5,65,993,10/1/2003,10/6/2003,n,,,,20,-87.5,Mexico
18,MINDY,ts,0.05,0,45,1002,10/10/2003,10/14/2003,n,,,,,,
19,NICHOLAS,ts,0,0,70,990,10/13/2003,10/23/2003,n,,,,,,
20,ODETTE,ts,8,10,65,993,12/4/2003,12/7/2003,n,,,,17.8,-71.5,Dominican Republic
21,PETER,ts,0,0,70,990,12/7/2003,12/11/2003,n,,,,,,
1,ALEX,3,1,7.5,120,957,7/31/2004,8/6/2004,y,,,,,,
2,BONNIE,ts,3,1.27,65,1001,8/3/2004,8/14/2004,y,30.2,-84,Florida,30.2,-84,United States
3,CHARLEY,4,35,16300,145,941,8/9/2004,8/15/2004,y,28.1,-81.6,Florida,22.7,-82.6,Cuba
5,DANIELLE,2,0,0,110,964,8/13/2004,8/21/2004,n,,,,,,
4,EARL,ts,1,min,50,1009,8/13/2004,8/15/2004,n,,,,,,
6,FRANCES,4,49,9600,145,935,8/25/2004,9/8/2004,y,27.2,-80.2,Florida,24,-74.5,Bahamas
8,GASTON,1,9,130,75,986,8/27/2004,9/1/2004,y,33,-79.6,South Carolina,33,-79.6,United States
7,HERMINE,ts,0,min,60,1002,8/27/2004,8/31/2004,y,,,,,,
9,IVAN,5,124,17200,165,910,9/2/2004,9/24/2004,y,31.4,-87.7,Alabama,31.4,-87.7,United States
10,UNNAMED,td,0,0,35,1009,9/7/2004,9/9/2004,n,,,,,,
11,JEANNE,3,3035,7000,120,950,9/13/2004,9/28/2004,y,18,-66,Puerto Rico,16.3,-61.5,Guadeloupe
12,KARL,4,0,0,145,938,9/16/2004,9/24/2004,n,,,,65.5,13.5,Norway
13,LISA,1,0,0,75,987,9/19/2004,10/3/2004,n,,,,,,
14,MATTHEW,ts,0,0.03,45,997,10/8/2004,10/10/2004,y,29.4,-90.9,Louisiana,29.4,-90.9,United States
15,NICOLE,ts,0,min,50,986,10/10/2004,10/11/2004,n,,,,,,
16,OTTO,ts,0,0,50,995,11/29/2004,12/5/2004,n,,,,,,
1,ARLENE,ts,1,11.8,70,989,6/8/2005,6/16/2005,y,31.4,-87.6,Alabama,21.8,-84.5,Cuba
2,BRET,ts,1,9.3,40,1002,6/28/2005,6/29/2005,n,,,,20.8,-97.3,Mexico
3,CINDY,1,5,320,75,991,7/3/2005,7/12/2005,y,30.8,-88.9,Mississippi,19,-87.6,Mexico
4,DENNIS,4,89,4000,150,930,7/4/2005,7/16/2005,y,31.5,-87.7,Alabama,19.9,-77.6,Cuba
5,EMILY,5,17,1000,160,929,7/11/2005,7/21/2005,y,,,,20.3,-87.4,Mexico
6,FRANKLIN,ts,0,0,70,997,7/21/2005,7/29/2005,n,,,,,,
7,GERT,ts,1,6,45,1005,7/23/2005,7/25/2005,n,,,,21.8,-97.6,Mexico
8,HARVEY,ts,0,0,65,994,8/2/2005,8/8/2005,n,,,,,,
9,IRENE,2,1,0,105,970,8/4/2005,8/18/2005,y,,,,,,
10,TEN,td,0,0,35,1008,8/13/2005,8/14/2005,n,,,,,,
11,JOSE,ts,8,45,60,998,8/22/2005,8/23/2005,n,,,,19.7,-96.7,Mexico
12,KATRINA,5,1833,108000,175,902,8/23/2005,8/30/2005,y,25.9,-80.3,Florida,23.1,-75.1,Bahamas
13,LEE,ts,0,0,40,1006,8/28/2005,9/2/2005,n,,,,,,
14,MARIA,3,1,3.1,115,962,9/1/2005,9/14/2005,y,,,,,,
16,NATE,1,2,0,90,979,9/5/2005,9/10/2005,y,,,,,,
15,OPHELIA,1,3,70,85,976,9/6/2005,9/23/2005,y,,,,,,
17,PHILIPPE,1,0,0,80,985,9/17/2005,9/23/2005,n,,,,,,
18,RITA,5,125,12000,180,895,9/18/2005,9/26/2005,n,30.5,-94.1,Texas,22.4,-73,Bahamas
19,NINETEEN,td,0,0,35,1006,9/30/2005,10/2/2005,n,,,,,,
20,STAN,1,1668,3900,80,977,10/1/2005,10/5/2005,n,,,,19.8,-87.9,Mexico
21,UNNAMED,ts,0,0,50,997,10/4/2005,10/5/2005,n,,,,,,
22,TAMMY,ts,10,30,50,1001,10/5/2005,10/6/2005,y,30.5,-81.6,Florida,30.5,-81.6,United States
23,TWENTY-TWO,td,10,29.5,35,1008,10/8/2005,10/10/2005,y,,,,,,
24,VINCE,1,0,0,75,988,10/8/2005,10/11/2005,n,,,,37.7,-6,Spain
25,WILMA,5,62,29100,185,882,10/15/2005,10/25/2005,y,26.2,-81,Florida,20.8,-87,Mexico
26,ALPHA,ts,43,NA,50,998,10/22/2005,10/24/2005,n,,,,18.3,-71.3,Dominican Republic
27,BETA,3,9,15.5,115,962,10/26/2005,10/31/2005,n,,,,12.7,-84.1,Nicaragua
28,GAMMA,ts,39,18,50,1002,11/14/2005,11/21/2005,n,,,,15.7,-84.8,Honduras
29,DELTA,ts,19,364,70,980,11/22/2005,11/28/2005,n,,,,32.6,-6.6,Morocco
30,EPSILON,1,0,0,85,981,11/29/2005,12/8/2005,n,,,,,,
31,ZETA,ts,0,0,65,994,12/30/2005,1/6/2006,n,,,,,,
1,ALBERTO,ts,3,0.42,70,995,6/10/2006,6/14/2006,y,30.3,-83.5,Florida,30.3,-83.5,United States
2,UNNAMED,ts,0,0,50,998,7/17/2006,7/18/2006,n,,,,,,
3,BERYL,ts,0,min,60,1000,7/18/2006,7/21/2006,y,,,,45.5,-63.3,Canada
4,CHRIS,ts,0,min,65,1001,8/1/2006,8/4/2006,n,,,,22.8,-80.2,Cuba
5,DEBBY,ts,0,0,50,999,8/21/2006,8/26/2006,n,,,,,,
6,ERNESTO,1,11,500,75,985,8/24/2006,9/1/2006,y,25.2,-80.7,Florida,19.9,-75.5,Cuba
7,FLORENCE,1,0,0.2,90,974,9/3/2006,9/12/2006,n,,,,,,
8,GORDON,3,0,min,120,955,9/11/2006,9/20/2006,n,,,,52.5,-9.5,Ireland
9,HELENE,3,0,0,120,955,9/12/2006,9/24/2006,n,,,,,,
10,ISAAC,1,0,min,85,985,9/27/2006,10/2/2006,n,,,,,,
1,ANDREA,ts,6,min,60,1001,5/9/2007,5/11/2007,n,,,,,,
2,BARRY,ts,3,min,60,997,6/1/2007,6/2/2007,y,29.7,-82.1,Florida,29.7,-82.1,United States
3,CHANTAL,ts,0,25,50,997,7/31/2007,8/1/2007,n,,,,,,
4,DEAN,5,44,1500,175,905,8/13/2007,8/23/2007,n,,,,18.9,-88.7,Mexico
5,ERIN,ts,16,25,40,1003,8/15/2007,8/17/2007,y,28.8,-97.8,Texas,28.8,-97.8,United States
6,FELIX,5,133,780,175,929,8/31/2007,9/5/2007,n,,,,12.1,-61.7,Grenada
7,GABRIELLE,ts,0,min,60,1004,9/8/2007,9/11/2007,y,,,,,,
9,HUMBERTO,1,1,50,90,985,9/12/2007,9/14/2007,y,29.6,-94.3,Texas,29.6,-94.3,United States
8,INGRID,ts,0,0,45,1002,9/12/2007,9/17/2007,n,,,,,,
10,TEN,td,0,6.2,35,1005,9/21/2007,9/22/2007,y,30.4,-86.7,Florida,30.4,-86.7,United States
11,JERRY,ts,0,0,40,1003,9/23/2007,9/24/2007,n,,,,,,
12,KAREN,1,0,0,75,988,9/25/2007,9/29/2007,n,,,,,,
13,LORENZO,1,6,92,80,990,9/25/2007,9/28/2007,n,,,,20.5,-97.1,Mexico
14,MELISSA,ts,0,0,40,1005,9/28/2007,9/30/2007,n,,,,,,
15,FIFTEEN,td,0,0,35,1011,10/11/2007,10/12/2007,n,,,,,,
16,NOEL,1,169,582,80,980,10/28/2007,11/2/2007,n,,,,21.1,-75.8,Cuba
17,OLGA,ts,45,45,60,1003,12/11/2007,12/12/2007,n,18.4,-66.5,Puerto Rico,18.4,-66.5,Puerto Rico
1,ARTHUR,ts,9,78,45,100,5/31/2008,6/2/2008,n,,,,18,-88.4,Belize
2,BERTHA,3,3,min,125,952,7/3/2008,7/20/2008,y,,,,,,
3,CRISTOBAL,ts,0,0.01,65,998,7/19/2008,7/23/2008,y,,,,,,
4,DOLLY,2,22,1350,100,963,7/20/2008,7/25/2008,y,26.5,-97.8,Texas,20.9,-87.2,Mexico
5,EDOUARD,ts,6,0.25,65,996,8/3/2008,8/6/2008,y,30,-94.8,Texas,30,-94.8,United States
6,FAY,ts,36,560,70,986,8/15/2008,8/27/2008,y,26.4,-81.4,Florida,18.5,-68.8,Dominican Republic
7,GUSTAV,4,153,6610,155,941,8/25/2008,9/4/2008,y,29.2,-90.7,Louisiana,18.4,-73.1,Haiti
8,HANNA,1,537,160,85,977,8/28/2008,9/7/2008,y,35.7,-78.1,North Carolina,21.8,-72.3,Turks and Caicos Islands
9,IKE,4,195,37500,145,935,9/1/2008,9/14/2008,y,30.3,-95.2,Texas,21,-73.2,Bahamas
10,JOSEPHINE,ts,0,min,65,994,9/2/2008,9/6/2008,n,,,,,,
11,KYLE,1,8,57.1,85,984,9/25/2008,9/29/2008,y,,,,45.6,-65,Canada
12,LAURA,ts,0,min,60,994,9/29/2008,10/1/2008,n,,,,,,
13,MARCO,ts,0,min,65,998,10/6/2008,10/7/2008,n,,,,19.9,-96.9,Mexico
14,NANA,ts,0,0,40,1004,10/12/2008,10/14/2008,n,,,,,,
15,OMAR,4,1,79,130,958,10/13/2008,10/18/2008,n,,,,,,
16,SIXTEEN,td,93,230,30,1004,10/14/2008,10/15/2008,n,,,,15.6,-85,Honduras
17,PALOMA,4,1,454.5,145,944,11/5/2008,11/10/2008,y,,,,20.7,-78,Cuba
1,ONE,td,0,0,35,1006,5/28/2009,5/29/2009,y,,,,,,
2,ANA,ts,0,min,40,1006,8/11/2009,8/16/2009,n,,,,,,
3,BILL,4,2,46.2,130,943,8/15/2009,8/24/2009,y,,,,48,-53,Canada
4,CLAUDETTE,ts,2,0.228,60,1005,8/16/2009,8/18/2009,y,30.5,-86.6,Florida,30.5,-86.6,United States
5,DANNY,ts,1,min,60,1006,8/26/2009,8/29/2009,y,,,,,,
6,ERIKA,ts,0,0.033,50,1004,9/1/2009,9/3/2009,n,,,,,,
7,FRED,3,0,0,120,958,9/7/2009,9/12/2009,n,,,,,,
8,EIGHT,td,0,0,35,1008,9/25/2009,9/26/2009,n,,,,,,
9,GRACE,ts,0,min,65,986,10/4/2009,10/6/2009,n,,,,,,
10,HENRI,ts,0,0,50,1005,10/6/2009,10/8/2009,n,,,,,,
11,IDA,2,1,11.3,105,975,11/4/2009,11/10/2009,y,30.6,-87.2,Florida,12.9,-83.6,Nicaragua
1,ALEX,2,52,1885,110,946,6/25/2010,7/2/2010,y,,,,17.5,-88.2,Belize
2,TWO,td,1,min,35,1005,7/8/2010,7/9/2010,y,26.1,-97.8,Texas,26.1,-97.8,United States
3,BONNIE,ts,1,1.5,45,1005,7/22/2010,7/24/2010,y,25.8,-81.1,Florida,23.8,-77.8,Bahamas
4,COLIN,ts,1,0,60,1005,8/2/2010,8/8/2010,n,,,,,,
5,FIVE,td,2,7.1,35,1007,8/10/2010,8/11/2010,y,30.4,-88.8,Mississippi,30.4,-88.8,United States
6,DANIELLE,4,2,min,130,942,8/21/2010,8/30/2010,n,,,,,,
7,EARL,4,8,44.6,145,927,8/25/2010,9/4/2010,y,,,,44.3,-64.5,Canada
8,FIONA,ts,0,min,65,998,8/30/2010,9/3/2010,n,,,,,,
9,GASTON,ts,0,0,40,1005,9/1/2010,9/2/2010,n,,,,,,
10,HERMINE,ts,8,740,70,989,9/5/2010,9/9/2010,y,26.2,-97.7,Texas,16.2,-95.2,Mexico
11,IGOR,4,4,200,155,924,9/8/2010,9/21/2010,y,,,,,,
12,JULIA,4,0,min,140,948,9/12/2010,9/20/2010,n,,,,,,
13,KARL,3,22,5600,125,956,9/14/2010,9/18/2010,n,,,,18.5,-87.8,Mexico
14,LISA,1,0,0,85,982,9/20/2010,9/26/2010,n,,,,,,
15,MATTHEW,ts,126,2600,60,998,9/23/2010,9/26/2010,n,,,,14.7,-83.3,Nicaragua
16,NICOLE,ts,13,235.4,45,995,9/28/2010,9/29/2010,y,,,,22.2,-80.5,Cuba
17,OTTO,1,0,22,85,976,10/6/2010,10/10/2010,n,,,,,,
18,PAULA,2,1,200,105,981,10/11/2010,10/15/2010,y,,,,15,-83.2,Honduras
19,RICHARD,2,2,80,100,977,10/20/2010,10/26/2010,n,,,,17.4,-89.2,Guatemala
21,SHARY,1,0,0,75,989,10/28/2010,10/30/2010,n,,,,,,
20,TOMAS,2,71,741,100,982,10/29/2010,11/7/2010,n,,,,21.7,-71.6,Turks and Caicos Islands
1,ARLENE,ts,22,223.4,65,993,6/28/2011,7/1/2011,y,,,,21.6,-97.4,Mexico
2,BRET,ts,0,0,70,995,7/17/2011,7/22/2011,y,,,,,,
3,CINDY,ts,0,0,70,994,7/20/2011,7/22/2011,n,,,,,,
4,DON,ts,0,0,50,997,7/27/2011,7/30/2011,y,27.8,-98.1,Texas,27.8,-98.1,United States
5,EMILY,ts,5,5,50,1003,8/2/2011,8/7/2011,y,,,,21,-76.3,Cuba
7,FRANKLIN,ts,0,0,45,1004,8/12/2011,8/13/2011,n,,,,,,
6,GERT,ts,0,0,65,1000,8/13/2011,8/16/2011,n,,,,,,
8,HARVEY,ts,3,min,65,994,8/19/2011,8/22/2011,n,,,,17,-88.3,Belize
9,IRENE,3,56,16600,120,942,8/21/2011,8/28/2011,y,18.2,-65.9,Puerto Rico,16.8,-62.2,Montserrat
10,TEN,td,0,0,35,1006,8/25/2011,8/26/2011,n,,,,,,
11,JOSE,ts,0,0,45,1006,8/27/2011,8/28/2011,n,,,,,,
12,KATIA,4,4,157,140,942,8/29/2011,9/10/2011,y,,,,58,-7,United Kingdom
13,UNNAMED,ts,0,0,45,1002,8/31/2011,9/3/2011,n,,,,,,
14,LEE,ts,18,1600,60,986,9/1/2011,9/5/2011,y,29.6,-92.1,Louisiana,29.6,-92.1,United States
15,MARIA,1,0,min,80,983,9/6/2011,9/16/2011,n,,,,47,-53.5,Canada
16,NATE,1,5,min,75,994,9/7/2011,9/11/2011,n,,,,20.5,-97.2,Mexico
17,OPHELIA,4,0,min,140,940,9/20/2011,10/3/2011,n,,,,46.9,-55.4,Canada
18,PHILIPPE,1,0,0,90,976,9/24/2011,10/8/2011,n,,,,,,
19,RINA,3,0,min,115,966,10/23/2011,10/28/2011,n,,,,20.9,-87.1,Mexico
20,SEAN,ts,1,0,65,982,11/8/2011,11/11/2011,n,,,,,,
1,ALBERTO,ts,0,0,60,995,5/19/2012,5/22/2012,y,,,,,,
2,BERYL,ts,3,0.148,70,992,5/26/2012,5/30/2012,y,30.2,-81.4,Florida,30.2,-81.4,United States
3,CHRIS,1,0,0,85,974,6/18/2012,6/22/2012,n,,,,,,
4,DEBBY,ts,10,308.7,65,990,6/23/2012,6/27/2012,y,29.4,-82.7,Florida,29.4,-82.7,United States
5,ERNESTO,2,12,174,100,973,8/1/2012,8/10/2012,n,,,,18.8,-87.7,Mexico
6,FLORENCE,ts,0,0,60,1002,8/3/2012,8/6/2012,n,,,,,,
8,GORDON,2,0,min,110,965,8/15/2012,8/20/2012,n,,,,37,-25.1,Azores
7,HELENE,ts,2,17,45,1004,8/9/2012,8/18/2012,n,,,,14.3,-83.6,Nicaragua
9,ISAAC,1,41,2390,80,965,8/21/2012,9/1/2012,y,29.2,-90.2,Louisiana,18.3,-72.7,Haiti
10,JOYCE,ts,0,0,40,1006,8/22/2012,8/24/2012,n,,,,,,
11,LESLIE,2,0,0,105,970,8/28/2012,9/2/2012,n,,,,47.7,-54.9,Canada
12,KIRK,1,0,10.1,80,968,8/30/2012,9/11/2012,n,,,,,,
13,MICHAEL,3,0,0,115,964,9/3/2012,9/11/2012,n,,,,,,
14,NADINE,1,0,min,90,978,9/10/2012,10/4/2012,n,,,,,,
15,OSCAR,ts,0,0,50,994,10/3/2012,10/5/2012,n,,,,,,
16,PATTY,ts,0,0,45,1005,10/11/2012,10/13/2012,n,,,,,,
17,RAFAEL,1,1,2,90,969,10/12/2012,10/17/2012,n,,,,40,-7.5,Portugal
18,SANDY,3,286,68000,115,940,10/22/2012,10/29/2012,y,39.4,-74.4,New Jersey,17.9,-76.6,Jamaica
19,TONY,ts,0,0,50,1000,10/22/2012,10/25/2012,n,,,,,,
1,ANDREA,ts,4,0.086,65,992,6/5/2013,6/7/2013,y,29.8,-83,Florida,29.8,-83,United States
2,BARRY,ts,5,min,45,1003,6/17/2013,6/20/2013,n,,,,14.8,-83.8,Honduras
3,CHANTAL,ts,1,10,65,1003,7/7/2013,7/10/2013,y,,,,,,
4,DORIAN,ts,0,0,60,1002,7/23/2013,8/3/2013,y,,,,25.7,-79.3,Bahamas
5,ERIN,ts,0,0,45,1006,8/15/2013,8/18/2013,n,,,,,,
6,FERNAND,ts,14,NA,60,1001,8/25/2013,8/26/2013,n,,,,19.7,-96.6,Mexico
7,GABRIELLE,ts,0,0,65,1003,9/4/2013,9/13/2013,y,,,,,,
8,EIGHT,td,0,0,35,1008,9/6/2013,9/7/2013,n,,,,22.3,-97.9,Mexico
9,HUMBERTO,1,0,min,90,979,9/8/2013,9/19/2013,n,,,,,,
10,INGRID,1,23,1500,85,983,9/12/2013,9/17/2013,y,,,,23.7,-97.8,Mexico
11,JERRY,ts,0,0,50,1005,9/29/2013,10/3/2013,n,,,,,,
12,KAREN,ts,0,min,65,998,10/3/2013,10/6/2013,y,,,,,,
13,LORENZO,ts,0,0,50,1000,10/21/2013,10/24/2013,n,,,,,,
14,MELISSA,ts,0,0,65,980,11/18/2013,11/21/2013,n,,,,,,
15,UNNAMED,ts,0,0,50,997,12/5/2013,12/7/2013,n,,,,,,
1,ARTHUR,2,1,13.9,100,973,7/1/2014,7/7/2014,y,,,,,,
